age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,50K
0,25,0,226802,2,7,2,7,1,4,0,0,0,40,0,0
1,38,0,89814,3,9,0,9,2,0,0,0,0,50,0,0
2,28,4,336951,5,12,0,12,2,0,0,0,0,40,0,1
3,44,0,160323,1,10,0,7,2,4,0,7688,0,40,0,1
4,18,8,103497,1,10,2,14,1,0,1,0,0,30,0,0
5,34,0,198693,12,6,2,2,3,0,0,0,0,30,0,0
6,29,8,227026,3,9,2,14,5,4,0,0,0,40,0,0
7,63,1,104626,4,15,0,5,2,0,0,3103,0,32,0,1
8,24,0,369667,1,10,2,2,5,0,1,0,0,40,0,0
9,55,0,104996,8,4,0,1,2,0,0,0,0,10,0,0
10,65,0,184454,3,9,0,7,2,0,0,6418,0,40,0,1
11,36,3,212465,0,13,0,8,2,0,0,0,0,40,0,0
12,26,0,82091,3,9,2,8,3,0,1,0,0,39,0,0
13,58,8,299831,3,9,0,14,2,0,0,0,0,35,0,0
14,48,0,279724,3,9,0,7,2,0,0,3103,0,48,0,1
15,43,0,346189,10,14,0,4,2,0,0,0,0,50,0,1
16,20,5,444554,1,10,2,2,1,0,0,0,0,25,0,0
17,43,0,128354,3,9,0,8,0,0,1,0,0,30,0,0
18,37,0,60548,3,9,4,7,5,0,1,0,0,20,0,0
19,40,0,85019,13,16,0,5,2,1,0,0,0,45,41,1
20,34,0,107914,0,13,0,0,2,0,0,0,0,47,0,1
21,34,0,238588,1,10,2,2,1,4,1,0,0,35,0,0
22,72,8,132015,8,4,1,14,3,0,1,0,0,6,0,0
23,25,0,220931,0,13,2,5,3,0,0,0,0,43,38,0
24,25,0,205947,0,13,0,5,2,0,0,0,0,40,0,0
25,45,1,432824,3,9,0,1,2,0,0,7298,0,90,0,1
26,22,0,236427,3,9,2,8,1,0,0,0,0,20,0,0
27,23,0,134446,3,9,3,7,5,4,0,0,0,54,0,0
28,54,0,99516,3,9,0,1,2,0,0,0,0,35,0,0
29,32,1,109282,1,10,2,5,3,0,0,0,0,60,0,0
30,46,5,106444,1,10,0,4,2,4,0,7688,0,38,0,1
31,56,1,186651,2,7,4,2,5,0,1,0,0,50,0,0
32,24,1,188274,0,13,2,3,3,0,0,0,0,50,0,0
33,23,4,258120,1,10,0,12,2,0,0,0,0,40,0,0
34,26,0,43311,3,9,1,4,5,0,1,0,0,40,0,0
35,65,8,191846,3,9,0,14,2,0,0,0,0,40,0,0
36,36,4,403681,0,13,0,5,2,0,0,0,0,40,0,1
37,22,0,248446,14,3,2,11,3,0,0,0,0,50,31,0
38,17,0,269430,12,6,2,7,3,0,0,0,0,40,0,0
39,20,0,257509,3,9,2,1,1,0,0,0,0,40,0,0
40,65,0,136384,10,14,0,5,2,0,0,0,0,50,0,1
41,44,2,120277,6,11,0,3,2,0,0,0,0,45,0,1
42,36,0,465326,3,9,0,9,2,0,0,0,0,40,0,0
43,29,0,103634,2,7,0,2,2,0,0,0,0,40,0,0
44,20,5,138371,1,10,2,9,1,0,0,0,0,32,0,0
45,28,0,242832,6,11,0,5,0,0,1,0,0,36,0,1
46,39,0,290208,8,4,0,1,2,0,0,0,0,40,20,0
47,54,0,186272,1,10,0,10,2,0,0,3908,0,50,0,0
48,52,0,201062,2,7,3,11,3,4,1,0,0,18,0,0
49,56,2,131916,3,9,4,4,3,0,1,0,0,50,0,0
50,18,0,54440,1,10,2,2,1,0,0,0,0,20,0,0
51,39,0,280215,3,9,1,6,1,4,0,0,0,40,0,0
52,21,0,214399,1,10,2,2,1,0,1,0,1721,24,0,0
53,22,0,54164,3,9,2,2,3,0,0,14084,0,60,0,1
54,38,0,219446,7,5,5,4,3,0,0,0,0,54,20,0
55,21,0,110677,1,10,2,8,1,0,1,0,0,40,0,0
56,63,0,145985,3,9,0,1,2,0,0,0,0,40,0,0
57,34,4,382078,0,13,0,4,2,0,0,3103,0,50,0,1
58,42,2,170721,3,9,0,4,2,0,0,5178,0,50,0,1
59,33,0,269705,3,9,0,6,2,0,0,0,0,40,0,0
60,30,0,101135,0,13,2,4,3,0,1,0,0,50,0,0
61,39,0,118429,1,10,1,3,3,0,0,0,0,40,0,0
62,26,0,31208,10,14,2,4,3,0,1,0,0,40,0,0
63,33,0,281384,3,9,2,7,1,0,1,0,0,40,0,0
64,47,4,171807,3,9,1,8,3,0,1,0,0,40,0,0
65,41,0,109912,0,13,2,2,3,0,1,0,0,40,41,0
66,41,2,445382,5,12,0,1,2,0,0,15024,0,60,0,1
67,19,0,105460,1,10,2,2,1,0,0,0,0,20,0,0
68,46,0,170338,3,9,3,10,3,0,0,0,0,40,0,0
69,43,0,102606,3,9,0,3,2,0,0,0,0,48,0,0
70,55,0,323887,1,10,0,4,2,0,0,15024,0,45,0,1
71,46,0,175622,6,11,0,0,2,0,0,0,0,40,0,0
72,30,0,229636,3,9,0,7,2,0,0,0,0,40,20,0
73,21,0,388946,1,10,3,6,3,0,1,0,0,40,0,0
74,46,0,269034,1,10,0,1,2,3,0,0,0,40,24,0
75,17,8,165361,12,6,2,14,1,0,0,0,0,40,0,0
76,41,0,75012,3,9,0,7,2,0,0,0,0,50,0,0
77,69,2,174379,3,9,0,3,2,0,0,0,0,30,0,0
78,50,0,312477,3,9,0,10,2,0,0,0,0,40,0,0
79,20,0,72055,1,10,2,8,3,0,1,0,0,40,0,0
80,45,2,67001,1,10,0,7,2,0,0,0,0,50,0,0
81,23,0,213734,0,13,2,4,3,0,0,0,0,40,0,0
82,24,0,83141,1,10,3,2,3,0,0,0,1876,40,0,0
83,44,2,223881,3,9,0,1,2,0,0,99999,0,50,41,1
84,31,1,113752,1,10,0,1,2,0,0,0,0,50,0,0
85,43,0,170482,3,9,3,7,3,0,1,0,0,44,0,0
86,20,3,244689,2,7,2,2,1,0,1,0,0,10,0,0
87,55,0,160631,3,9,0,3,2,0,0,0,0,56,0,1
88,24,3,228724,1,10,2,13,3,0,0,0,0,40,0,0
89,41,8,38434,10,14,0,14,0,0,1,7688,0,10,0,1
90,59,0,292946,0,13,2,4,3,0,1,0,0,25,0,0
91,49,3,77443,8,4,2,2,3,4,0,0,0,20,0,0
92,33,0,176410,10,14,0,5,0,0,1,5178,0,10,0,1
93,59,3,98984,0,13,1,8,3,0,0,0,0,40,0,0
94,34,0,198751,10,14,2,2,3,2,0,0,0,40,0,0
95,20,0,479296,3,9,2,6,1,0,0,0,0,40,0,0
96,25,0,235218,0,13,2,4,1,0,1,0,0,40,0,0
97,49,0,164877,12,6,0,9,2,0,0,0,0,40,0,0
98,59,0,272087,3,9,0,10,2,0,0,0,0,40,0,1
99,20,0,169699,3,9,2,8,3,0,1,0,0,40,0,0
100,51,8,189762,1,10,0,14,0,0,1,0,0,18,0,0
101,33,0,202191,1,10,2,8,5,4,1,0,0,35,0,0
102,22,0,212261,1,10,2,10,1,4,0,0,0,39,0,0
103,58,1,301568,7,5,4,2,3,0,1,0,0,40,0,0
104,52,4,155233,3,9,4,8,5,0,1,0,0,28,0,0
105,36,0,75826,12,6,3,7,3,0,1,0,0,40,0,0
106,41,4,201520,3,9,0,12,2,0,0,0,0,40,0,0
107,28,0,154236,3,9,2,10,1,0,0,2597,0,40,0,0
108,19,0,289227,1,10,2,6,1,4,0,0,0,16,0,0
109,18,0,217439,3,9,2,2,3,0,1,0,0,28,0,0
110,18,0,179020,3,9,2,7,1,0,1,0,0,48,0,0
111,28,0,149624,1,10,0,1,2,0,0,0,0,40,0,0
112,29,0,337266,6,11,0,4,2,0,0,0,0,40,0,1
113,20,8,30796,3,9,2,14,1,0,1,0,0,20,0,0
114,40,0,103541,1,10,0,6,2,0,0,0,0,40,0,0
115,26,0,206721,3,9,2,6,5,0,0,0,0,40,0,0
116,46,0,96773,3,9,0,1,2,0,0,0,0,40,0,0
117,23,0,200967,2,7,2,2,3,0,1,0,0,24,0,0
118,44,0,180019,3,9,5,8,5,0,1,0,0,40,0,0
119,43,0,179866,0,13,1,3,5,0,1,0,0,40,0,1
120,31,4,198770,0,13,1,5,5,0,1,0,0,60,0,0
121,18,0,219256,1,10,2,3,1,0,1,0,0,25,0,0
122,19,0,248730,1,10,2,12,1,0,0,0,0,30,0,0
123,41,0,110732,1,10,1,0,3,0,1,0,0,40,0,0
124,41,0,181020,3,9,1,6,5,0,1,0,0,40,0,0
125,69,0,183791,3,9,1,8,3,0,1,0,0,25,0,0
126,48,3,42972,13,16,0,5,0,0,1,0,0,40,0,1
127,28,0,134813,3,9,2,5,1,0,0,0,0,40,0,0
128,27,1,115438,3,9,0,1,2,0,0,0,0,60,22,1
129,41,0,239296,10,14,0,5,2,0,0,0,2415,50,0,1
130,41,0,428420,1,10,0,8,2,0,0,0,0,40,0,0
131,24,0,247846,3,9,2,1,5,4,1,0,0,40,0,0
132,20,8,334105,3,9,2,14,3,0,1,0,0,40,0,0
133,42,2,100793,13,16,0,5,2,0,0,0,0,41,0,1
134,57,0,244478,3,9,0,1,2,4,0,0,0,48,0,0
135,30,0,142921,5,12,2,5,3,0,1,0,0,40,0,0
136,36,0,182863,3,9,0,3,2,0,0,0,0,60,0,1
137,49,0,171128,8,4,0,7,2,4,0,0,0,40,0,0
138,33,0,145402,3,9,0,7,0,0,1,0,0,35,0,0
139,23,0,306309,12,6,0,9,2,0,0,0,0,40,0,0
140,46,0,83822,10,14,0,5,2,0,0,0,0,40,0,0
141,18,0,262118,1,10,2,8,1,1,1,0,0,22,5,0
142,40,0,155972,3,9,0,4,2,0,0,7688,0,55,0,1
143,43,2,214503,3,9,0,4,2,0,0,0,1887,45,0,1
144,34,0,159303,10,14,2,5,1,0,1,0,0,30,0,0
145,47,1,174995,3,9,4,4,3,0,1,0,0,30,0,0
146,44,0,26669,6,11,4,4,5,0,1,0,0,30,0,0
147,33,0,177727,3,9,0,3,2,0,0,0,0,40,0,1
148,55,0,124771,0,13,0,4,2,0,0,15024,0,50,0,1
149,19,0,456736,3,9,2,3,3,0,0,2907,0,30,0,0
150,28,0,216604,1,10,2,2,3,4,0,0,0,14,0,0
151,27,0,221561,2,7,0,2,0,4,1,0,0,32,0,0
152,50,0,114564,8,4,0,7,2,0,0,0,0,20,0,0
153,22,0,315476,2,7,2,1,5,0,0,0,0,40,0,0
154,40,5,67874,0,13,0,8,2,0,0,0,1887,45,0,1
155,25,0,126110,1,10,2,8,1,0,1,0,0,40,0,0
156,26,4,102264,3,9,2,1,3,0,0,0,0,40,0,0
157,22,0,537222,0,13,2,3,3,0,0,0,0,25,0,0
158,42,0,113732,1,10,2,6,5,4,1,0,625,40,0,0
159,38,2,93225,0,13,1,4,3,0,0,0,0,40,0,0
160,55,0,43064,2,7,0,2,2,0,0,0,0,30,0,0
161,32,0,136921,3,9,0,3,2,0,0,0,0,40,0,0
162,22,0,388885,3,9,0,1,2,0,0,0,0,45,0,0
163,29,0,142249,0,13,2,3,1,0,0,0,0,40,0,0
164,46,5,56841,10,14,0,4,2,0,0,0,0,45,0,1
165,31,0,156493,1,10,0,4,2,0,0,0,0,40,0,1
166,58,1,159021,13,16,0,5,2,0,0,0,0,16,0,1
167,42,0,190910,3,9,0,1,2,0,0,0,0,45,0,0
168,18,0,41879,3,9,2,6,5,0,0,0,0,25,0,0
169,58,4,137249,3,9,1,4,3,0,0,0,0,33,0,0
170,54,0,236157,3,9,0,5,2,0,0,0,1887,40,0,1
171,34,0,189759,10,14,2,5,3,0,0,0,0,40,0,0
172,26,0,239877,0,13,2,8,3,0,1,0,0,40,0,0
173,61,0,21175,9,8,0,4,2,0,0,0,0,60,0,0
174,48,4,67229,10,14,3,8,5,4,1,0,0,40,0,0
175,36,0,236391,1,10,0,4,2,0,0,0,0,45,0,1
176,24,0,325596,6,11,0,7,2,0,0,0,0,45,0,0
177,40,0,83411,1,10,0,7,2,0,0,0,0,37,0,0
178,33,2,154227,3,9,0,3,2,0,0,0,0,50,0,1
179,37,0,248010,1,10,0,7,2,0,0,0,1887,40,0,1
180,34,0,198613,10,14,2,4,1,0,0,4650,0,40,0,0
181,56,2,321529,1,10,0,4,2,0,0,15024,0,40,0,1
182,28,8,168524,3,9,0,14,1,0,1,0,0,38,0,1
183,37,0,203079,0,13,4,4,3,0,1,0,0,55,0,0
184,44,0,284652,3,9,1,3,5,4,1,0,0,40,0,0
185,64,8,201368,1,10,0,14,2,0,0,0,0,8,0,0
186,54,0,59840,3,9,1,6,3,0,0,0,0,45,0,0
187,23,0,52753,3,9,2,7,3,0,0,0,0,50,0,0
188,34,5,513100,0,13,5,9,3,4,0,0,0,40,41,0
189,22,0,199266,3,9,2,2,3,0,1,0,0,45,0,0
190,33,0,196385,0,13,0,4,2,0,0,0,1977,40,0,1
191,39,0,163205,0,13,3,5,3,0,0,0,0,50,0,1
192,47,0,411047,1,10,1,8,3,4,1,0,0,37,0,0
193,79,8,48574,8,4,4,14,3,0,0,0,0,40,0,0
194,26,0,209440,3,9,2,5,5,4,1,0,0,55,0,0
195,31,0,56964,1,10,1,4,5,0,1,0,0,40,0,0
196,44,0,299197,1,10,2,10,3,0,0,0,0,45,0,0
197,42,2,240628,4,15,0,5,0,0,1,0,0,50,0,1
198,19,0,355313,3,9,2,7,3,0,1,0,0,40,0,0
199,27,0,132267,3,9,0,6,2,0,0,0,0,40,0,1
200,51,4,174861,1,10,0,12,2,0,0,0,0,40,0,1
201,28,2,142443,0,13,0,4,2,0,0,0,0,50,0,0
202,57,0,26716,0,13,1,1,3,0,0,0,0,45,0,0
203,45,4,185588,0,13,1,5,5,0,1,0,0,40,0,0
204,50,0,175029,6,11,0,5,2,0,0,0,0,40,0,1
205,34,2,34848,0,13,0,3,2,0,0,0,0,54,0,0
206,45,0,411273,8,4,0,1,2,4,0,0,0,40,0,0
207,73,4,143437,3,9,0,4,2,0,0,0,0,20,0,0
208,34,0,357145,0,13,0,5,0,0,1,0,0,50,0,1
209,31,0,236861,1,10,0,3,2,0,0,0,0,55,0,1
210,19,0,53355,2,7,2,3,3,0,0,0,0,12,0,0
211,25,0,29106,1,10,2,2,1,0,1,0,0,50,0,0
212,38,3,213274,6,11,1,1,5,0,1,6497,0,40,0,0
213,39,0,22463,0,13,0,10,2,0,0,0,0,40,0,0
214,23,0,180497,0,13,2,0,1,4,1,0,0,32,0,0
215,49,0,37306,3,9,0,7,2,0,0,0,0,40,0,0
216,33,3,137814,3,9,2,2,3,0,0,0,0,32,0,0
217,21,0,447488,14,3,2,7,4,0,0,0,0,38,20,0
218,31,0,220915,6,11,3,1,3,0,0,0,0,40,0,0
219,23,0,42251,0,13,2,4,3,0,1,0,0,45,0,0
220,34,0,162312,0,13,0,8,2,1,0,0,0,40,15,0
221,25,0,77698,3,9,2,7,3,1,1,0,0,40,15,0
222,39,0,282951,3,9,2,1,5,0,0,0,0,40,0,0
223,52,2,311259,3,9,0,3,2,0,0,0,0,40,0,1
224,63,4,65479,7,5,0,10,2,0,0,7688,0,40,0,1
225,41,0,277256,1,10,0,1,2,0,0,0,0,40,0,0
226,46,0,312088,0,13,0,5,2,0,0,15024,0,38,0,1
227,53,4,169719,3,9,0,4,2,0,0,0,0,40,0,0
228,25,8,270276,7,5,3,14,3,0,1,1055,0,40,0,0
229,77,8,172744,1,10,0,14,2,0,0,0,0,35,0,0
230,18,0,96869,9,8,2,11,1,0,0,0,0,40,0,0
231,38,0,237943,4,15,0,5,2,0,0,0,0,50,0,0
232,55,0,119751,10,14,2,4,5,1,1,0,0,50,34,0
233,34,0,236861,3,9,0,0,2,0,0,0,0,40,0,1
234,80,1,201092,3,9,0,2,2,0,0,0,0,30,0,0
235,34,0,147215,6,11,1,0,5,0,1,0,0,60,0,0
236,52,0,152373,1,10,0,0,2,0,0,5013,0,40,0,0
237,42,0,227968,3,9,2,2,5,4,1,0,0,28,28,0
238,26,0,362617,1,10,2,3,3,0,1,0,0,40,0,0
239,31,0,103435,3,9,0,10,2,0,0,0,0,40,0,0
240,25,4,281412,3,9,2,2,1,0,1,0,0,35,0,0
241,55,1,105239,3,9,0,1,2,0,0,0,2057,60,0,0
242,19,0,230165,1,10,2,2,1,0,1,0,0,12,0,0
243,62,1,177493,1,10,0,10,2,0,0,0,0,32,0,0
244,22,3,104443,1,10,2,8,1,0,1,0,0,20,0,0
245,39,8,110342,3,9,0,14,0,0,1,0,0,50,0,0
246,35,0,143385,3,9,0,6,2,0,0,0,0,40,0,0
247,28,0,107189,3,9,0,3,1,0,1,0,0,40,0,0
248,47,0,212944,3,9,0,10,2,0,0,0,0,70,0,1
249,44,5,138634,3,9,0,7,2,0,0,0,0,40,0,0
250,21,0,99970,1,10,2,3,1,0,0,0,0,15,0,0
251,35,0,203717,6,11,2,1,3,0,0,0,0,50,0,0
252,24,0,313956,0,13,0,5,2,0,0,0,0,40,0,1
253,42,3,177937,0,13,2,5,3,0,0,0,0,40,41,0
254,28,0,193868,0,13,2,0,1,0,0,0,0,50,0,0
255,21,0,250939,1,10,2,7,4,0,0,0,0,35,0,0
256,62,3,57629,1,10,1,0,3,4,0,4650,0,40,0,0
257,39,0,281768,3,9,2,2,3,4,1,0,0,40,0,0
258,30,5,260782,3,9,2,2,3,0,0,0,0,40,0,0
259,72,1,243769,4,15,2,5,3,0,0,0,1429,20,0,0
260,50,0,109937,1,10,0,4,0,0,1,0,0,50,0,0
261,28,4,134890,10,14,2,5,3,0,0,0,0,40,0,0
262,29,0,100293,1,10,2,5,3,0,1,0,0,40,0,0
263,26,0,132179,0,13,2,8,1,0,1,0,0,40,0,0
264,27,0,116372,10,14,2,4,3,0,1,0,0,40,0,0
265,29,0,255412,1,10,0,6,2,0,0,3103,0,40,0,1
266,61,8,195789,3,9,0,14,2,0,0,0,0,40,0,0
267,29,0,342400,12,6,0,1,2,0,0,0,0,25,0,0
268,21,8,65481,1,10,2,14,1,0,1,0,0,30,0,0
269,31,0,169085,2,7,0,3,0,0,1,0,0,20,0,0
270,25,0,177221,3,9,0,4,2,0,0,0,0,75,0,0
271,58,0,65325,12,6,0,10,2,0,0,0,0,40,0,1
272,64,0,118944,1,10,0,4,0,0,1,0,0,40,0,1
273,46,5,149337,10,14,2,4,3,0,0,0,0,38,0,0
274,53,8,237868,3,9,0,14,2,0,0,0,0,35,0,1
275,19,0,106183,3,9,2,2,1,2,1,0,0,35,0,0
276,42,0,226388,3,9,1,2,3,4,0,0,0,52,0,0
277,18,0,220754,2,7,2,6,1,0,0,0,0,24,0,0
278,58,2,204021,0,13,0,1,2,0,0,15024,0,50,0,1
279,20,0,347391,1,10,2,12,3,4,0,0,0,60,0,0
280,35,3,413930,3,9,0,1,2,0,0,0,0,40,0,1
281,32,0,174201,3,9,0,6,2,0,0,0,0,38,0,1
282,23,0,145917,3,9,2,6,3,0,1,0,0,25,0,0
283,31,0,241797,1,10,1,0,5,0,1,0,0,40,0,0
284,33,0,265168,0,13,0,3,2,4,0,0,0,55,0,0
285,41,0,171234,1,10,2,7,3,0,1,0,0,48,0,0
286,22,0,178452,3,9,2,7,1,4,0,0,0,40,0,0
287,46,0,157857,1,10,0,12,2,0,0,0,0,40,0,1
288,61,3,512864,1,10,0,10,2,4,0,0,0,40,0,0
289,30,0,296462,3,9,2,4,3,4,0,0,0,40,0,0
290,42,0,171615,3,9,0,4,2,0,0,0,0,55,0,1
291,63,0,214071,12,6,0,6,2,0,0,0,0,40,0,0
292,26,0,172421,1,10,0,3,2,0,0,0,0,40,0,0
293,42,0,195488,12,6,1,8,5,0,1,0,0,40,0,0
294,23,0,316841,1,10,0,2,2,0,0,0,0,40,0,0
295,25,0,236267,3,9,2,7,5,0,0,0,1590,40,0,0
296,30,0,236543,7,5,0,2,2,0,0,0,0,32,36,1
297,23,0,318483,3,9,2,3,1,0,0,0,0,40,0,0
298,34,1,163756,6,11,2,9,3,0,0,27828,0,60,0,1
299,30,0,238186,3,9,0,7,4,0,0,0,2057,48,0,0
300,39,0,329980,1,10,0,1,2,0,0,0,0,40,0,1
301,30,0,169269,2,7,2,6,4,0,0,0,1721,38,3,0
302,38,4,34744,1,10,1,8,5,0,1,0,0,38,0,0
303,26,0,98114,3,9,1,4,1,0,1,0,0,40,0,0
304,20,0,109667,1,10,2,6,1,0,0,0,0,16,0,0
305,37,4,263690,0,13,2,5,5,4,0,0,0,40,41,0
306,33,0,147430,3,9,0,8,1,0,1,0,0,40,0,0
307,24,0,224238,0,13,2,8,1,0,0,0,0,40,0,0
308,42,2,212894,0,13,0,4,2,0,0,0,0,60,0,1
309,51,1,136708,3,9,0,3,2,1,0,3103,0,84,19,0
310,56,4,38573,5,12,0,0,2,0,0,0,0,45,0,1
311,22,0,197200,1,10,2,6,1,0,0,0,0,40,0,0
312,52,1,182796,1,10,0,9,2,0,0,0,0,60,0,0
313,44,0,184527,0,13,1,4,5,0,1,4934,0,45,0,1
314,34,0,145231,3,9,0,8,0,0,1,4064,0,35,0,0
315,51,0,43354,1,10,1,1,3,0,0,0,0,42,0,1
316,20,8,318865,1,10,2,14,3,0,0,0,0,40,0,0
317,19,0,355712,1,10,2,3,3,0,1,0,0,25,0,0
318,37,0,98776,0,13,0,4,2,0,0,0,0,40,0,1
319,68,0,257557,3,9,0,7,2,4,0,0,0,40,0,1
320,22,0,102258,1,10,1,12,3,0,0,0,0,40,0,0
321,56,2,170287,0,13,0,4,2,0,0,0,0,40,0,0
322,37,0,243409,3,9,0,1,2,0,0,0,0,40,0,0
323,52,0,55608,11,2,0,7,2,0,0,0,0,40,20,0
324,26,0,248057,3,9,3,6,1,0,0,0,0,40,3,0
325,33,0,95530,10,14,0,5,2,0,0,0,0,50,0,0
326,45,4,54038,10,14,1,5,5,0,1,0,0,42,0,0
327,18,0,161245,2,7,2,2,1,0,0,0,0,15,0,0
328,43,1,388725,1,10,0,9,2,0,0,0,0,60,0,1
329,64,1,71807,13,16,0,5,2,0,0,15024,0,50,41,1
330,18,0,228216,3,9,2,6,1,0,0,0,0,20,0,0
331,20,8,303121,1,10,2,14,1,0,0,0,0,45,0,0
332,57,0,78020,3,9,0,1,2,0,0,0,0,40,0,1
333,41,0,249254,3,9,1,8,5,0,1,3674,0,42,0,0
334,34,0,87218,10,14,0,4,2,0,0,0,1887,50,0,1
335,19,0,304299,3,9,2,3,5,0,1,0,0,40,0,0
336,44,0,196234,7,5,1,2,5,0,1,0,0,55,24,0
337,56,0,197875,12,6,4,2,5,0,1,0,0,40,0,0
338,36,2,48063,3,9,0,9,2,0,0,0,0,80,0,0
339,48,0,253596,0,13,1,4,5,0,1,0,0,48,0,0
340,29,0,39257,3,9,0,10,2,0,0,0,0,40,0,1
341,33,0,56150,0,13,2,1,3,0,0,2174,0,40,0,0
342,31,0,179415,14,3,0,2,2,0,0,0,0,40,20,0
343,39,0,252445,10,14,0,5,2,0,0,0,0,45,0,1
344,66,0,275918,3,9,0,4,2,0,0,10605,0,40,0,1
345,27,0,106562,0,13,2,5,3,0,1,0,0,50,0,1
346,39,0,198654,3,9,1,4,5,4,1,99999,0,40,0,1
347,59,0,107318,8,4,0,1,2,0,0,5178,0,50,0,1
348,26,0,181896,3,9,2,2,1,0,1,0,0,40,0,0
349,31,0,106014,6,11,1,1,5,0,0,0,0,40,0,0
350,45,8,319993,3,9,4,14,5,0,1,0,0,40,20,0
351,23,0,197997,3,9,2,6,1,0,0,0,0,30,0,0
352,36,4,173542,3,9,1,8,5,0,1,0,0,40,0,0
353,34,0,207564,1,10,0,2,0,0,1,0,0,12,0,1
354,32,0,224462,3,9,0,10,2,0,0,0,0,84,0,1
355,37,0,123361,0,13,0,5,2,4,0,0,0,50,0,1
356,33,0,90409,0,13,2,3,3,0,0,0,0,45,0,0
357,50,1,165001,4,15,0,5,2,0,0,99999,0,80,0,1
358,32,3,149573,5,12,2,12,3,4,0,0,0,40,0,0
359,35,0,249456,0,13,2,8,1,4,1,0,0,40,0,0
360,37,0,149898,2,7,0,1,2,0,0,0,0,40,0,0
361,44,0,292985,1,10,1,1,3,0,0,0,0,60,0,0
362,57,0,50223,1,10,1,6,4,0,0,0,0,25,0,0
363,29,4,400074,1,10,0,4,1,0,1,0,0,40,0,0
364,55,0,197399,3,9,0,1,2,0,0,0,0,50,0,1
365,43,2,209547,4,15,0,5,2,0,0,0,0,25,0,1
366,43,0,52433,1,10,0,3,2,0,0,0,0,70,0,0
367,45,1,355978,1,10,0,3,2,0,0,0,0,60,0,1
368,33,1,48214,10,14,0,5,0,0,1,0,0,8,0,0
369,26,0,190873,12,6,1,2,5,0,1,0,0,40,5,0
370,23,0,278390,1,10,0,3,2,0,0,0,0,68,0,0
371,41,0,203217,8,4,3,1,3,0,0,0,0,40,20,0
372,24,0,279175,3,9,0,1,2,0,0,0,0,40,0,0
373,47,1,194590,0,13,0,3,2,0,0,0,0,44,0,0
374,34,1,198813,3,9,2,1,1,0,0,0,0,45,0,0
375,40,0,187294,3,9,0,4,2,0,0,0,0,40,0,1
376,28,0,302903,0,13,0,5,0,1,1,0,1485,40,0,0
377,24,0,154835,3,9,2,4,1,1,1,0,0,40,10,0
378,73,8,73402,1,10,0,14,2,0,0,0,0,10,0,0
379,23,0,100345,3,9,2,1,4,0,0,0,0,15,0,0
380,43,1,126320,3,9,0,4,2,4,0,0,0,40,0,1
381,26,0,142226,0,13,1,0,3,0,1,0,0,40,0,0
382,58,1,112076,13,16,6,4,0,0,1,0,1485,35,0,1
383,52,0,225339,3,9,4,8,5,4,1,0,0,35,0,0
384,29,0,211208,2,7,0,10,2,0,0,0,0,99,0,1
385,47,0,200808,2,7,0,2,2,0,0,0,0,35,29,0
386,49,0,220618,3,9,1,8,5,4,1,0,0,37,0,0
387,40,0,210493,2,7,4,8,5,0,1,0,0,40,0,0
388,62,1,369734,3,9,0,8,0,0,1,0,0,40,0,0
389,49,0,27898,3,9,0,4,2,0,0,0,1977,55,0,1
390,50,0,138193,0,13,1,5,4,0,1,0,0,50,0,1
391,31,0,224234,3,9,2,10,1,4,0,0,0,40,0,0
392,48,4,188741,10,14,2,5,3,0,1,0,0,50,0,0
393,24,0,183772,3,9,2,1,5,0,1,0,0,40,0,0
394,41,8,155041,3,9,2,14,1,0,1,3418,0,40,0,0
395,37,0,79586,3,9,3,7,1,1,0,0,0,60,0,0
396,45,0,355781,0,13,0,4,2,1,0,0,0,45,8,1
397,63,8,156158,3,9,0,14,2,0,0,0,0,16,0,0
