age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,50K
0,39,5,77516,0,13,2,8,3,0,0,2174,0,40,0,0
1,50,1,83311,0,13,0,4,2,0,0,0,0,13,0,0
2,38,0,215646,3,9,1,6,3,0,0,0,0,40,0,0
3,53,0,234721,2,7,0,6,2,4,0,0,0,40,0,0
4,28,0,338409,0,13,0,5,0,4,1,0,0,40,12,0
5,37,0,284582,10,14,0,4,0,0,1,0,0,40,0,0
6,49,0,160187,7,5,5,2,3,4,1,0,0,16,18,0
7,52,1,209642,3,9,0,4,2,0,0,0,0,45,0,1
8,31,0,45781,10,14,2,5,3,0,1,14084,0,50,0,1
9,42,0,159449,0,13,0,4,2,0,0,5178,0,40,0,1
10,37,0,280464,1,10,0,4,2,4,0,0,0,80,0,1
11,30,5,141297,0,13,0,5,2,1,0,0,0,40,7,1
12,23,0,122272,0,13,2,8,1,0,1,0,0,30,0,0
13,32,0,205019,5,12,2,3,3,4,0,0,0,50,0,0
14,40,0,121772,6,11,0,1,2,1,0,0,0,40,41,1
15,34,0,245487,8,4,0,10,2,2,0,0,0,45,20,0
16,25,1,176756,3,9,2,9,1,0,0,0,0,35,0,0
17,32,0,186824,3,9,2,7,5,0,0,0,0,40,0,0
18,38,0,28887,2,7,0,3,2,0,0,0,0,50,0,0
19,43,1,292175,10,14,1,4,5,0,1,0,0,45,0,1
20,40,0,193524,13,16,0,5,2,0,0,0,0,60,0,1
21,54,0,302146,3,9,3,2,5,4,1,0,0,20,0,0
22,35,3,76845,7,5,0,9,2,4,0,0,0,40,0,0
23,43,0,117037,2,7,0,10,2,0,0,0,2042,40,0,0
24,59,0,109015,3,9,1,0,5,0,1,0,0,40,0,0
25,56,4,216851,0,13,0,0,2,0,0,0,0,40,0,1
26,19,0,168294,3,9,2,1,1,0,0,0,0,40,0,0
27,54,8,180211,1,10,0,14,2,1,0,0,0,60,10,1
28,39,0,367260,3,9,1,4,3,0,0,0,0,80,0,0
29,49,0,193366,3,9,0,1,2,0,0,0,0,40,0,0
30,23,4,190709,5,12,2,12,3,0,0,0,0,52,0,0
31,20,0,266015,1,10,2,3,1,4,0,0,0,44,0,0
32,45,0,386940,0,13,1,4,1,0,0,0,1408,40,0,0
33,30,3,59951,1,10,0,8,1,0,0,0,0,40,0,0
34,22,5,311512,1,10,0,2,2,4,0,0,0,15,0,0
35,48,0,242406,2,7,2,7,5,0,0,0,0,40,3,0
36,21,0,197200,1,10,2,7,1,0,0,0,0,40,0,0
37,19,0,544091,3,9,6,8,0,0,1,0,0,25,0,0
38,31,0,84154,1,10,0,3,2,0,0,0,0,38,41,1
39,48,1,265477,5,12,0,5,2,0,0,0,0,40,0,0
40,31,0,507875,7,5,0,7,2,0,0,0,0,43,0,0
41,53,1,88506,0,13,0,5,2,0,0,0,0,40,0,0
42,24,0,172987,0,13,0,0,2,0,0,0,0,50,0,0
43,49,0,94638,3,9,3,8,5,0,1,0,0,40,0,0
44,25,0,289980,3,9,2,6,3,0,0,0,0,35,0,0
45,57,3,337895,0,13,0,5,2,4,0,0,0,40,0,1
46,53,0,144361,3,9,0,7,2,0,0,0,0,38,0,0
47,44,0,128354,10,14,1,4,5,0,1,0,0,40,0,0
48,41,5,101603,6,11,0,1,2,0,0,0,0,40,0,0
49,29,0,271466,6,11,2,5,3,0,0,0,0,43,0,0
50,25,0,32275,1,10,0,4,0,3,1,0,0,40,0,0
51,18,0,226956,3,9,2,2,1,0,1,0,0,30,41,0
52,47,0,51835,4,15,0,5,0,0,1,0,1902,60,14,1
53,50,3,251585,0,13,1,4,3,0,0,0,0,55,0,1
54,47,2,109832,3,9,1,4,3,0,0,0,0,60,0,0
55,43,0,237993,1,10,0,0,2,0,0,0,0,40,0,1
56,46,0,216666,14,3,0,7,2,0,0,0,0,40,20,0
57,35,0,56352,6,11,0,2,2,0,0,0,0,40,3,0
58,41,0,147372,3,9,0,8,2,0,0,0,0,48,0,0
59,30,0,188146,3,9,0,7,2,0,0,5013,0,40,0,0
60,30,0,59496,0,13,0,3,2,0,0,2407,0,40,0,0
61,32,8,293936,8,4,5,14,3,0,0,0,0,40,41,0
62,48,0,149640,3,9,0,10,2,0,0,0,0,40,0,0
63,42,0,116632,13,16,0,5,2,0,0,0,0,45,0,1
64,29,0,105598,1,10,1,0,3,0,0,0,0,58,0,0
65,36,0,155537,3,9,0,1,2,0,0,0,0,40,0,0
66,28,0,183175,1,10,1,8,3,0,1,0,0,40,0,0
67,53,0,169846,3,9,0,8,0,0,1,0,0,40,0,1
68,49,2,191681,1,10,0,4,2,0,0,0,0,50,0,1
69,25,8,200681,1,10,2,14,1,0,0,0,0,40,0,0
70,19,0,101509,1,10,2,5,1,0,0,0,0,32,0,0
71,31,0,309974,0,13,3,3,1,4,1,0,0,40,0,0
72,29,1,162298,0,13,0,3,2,0,0,0,0,70,0,1
73,23,0,211678,1,10,2,7,3,0,0,0,0,40,0,0
74,79,0,124744,1,10,0,5,4,0,0,0,0,20,0,0
75,27,0,213921,3,9,2,2,1,0,0,0,0,40,20,0
76,40,0,32214,5,12,0,8,2,0,0,0,0,40,0,0
77,67,8,212759,12,6,0,14,2,0,0,0,0,2,0,0
78,18,0,309634,2,7,2,2,1,0,1,0,0,22,0,0
79,31,4,125927,8,4,0,9,2,0,0,0,0,40,0,0
80,18,0,446839,3,9,2,3,3,0,0,0,0,30,0,0
81,52,0,276515,0,13,0,2,2,0,0,0,0,40,12,0
82,46,0,51618,3,9,0,2,0,0,1,0,0,40,0,0
83,59,0,159937,3,9,0,3,2,0,0,0,0,48,0,0
84,44,0,343591,3,9,1,1,3,0,1,14344,0,40,0,1
85,53,0,346253,3,9,1,3,1,0,1,0,0,35,0,0
86,49,4,268234,3,9,0,12,2,0,0,0,0,40,0,1
87,33,0,202051,10,14,0,5,2,0,0,0,0,50,0,0
88,30,0,54334,7,5,2,3,3,0,0,0,0,40,0,0
89,43,3,410867,13,16,2,5,3,0,1,0,0,50,0,1
90,57,0,249977,6,11,0,5,2,0,0,0,0,40,0,0
91,37,0,286730,1,10,1,1,5,0,1,0,0,40,0,0
92,28,0,212563,1,10,1,7,5,4,1,0,0,25,0,0
93,30,0,117747,3,9,0,3,0,1,1,0,1573,35,41,0
94,34,4,226296,0,13,0,12,2,0,0,0,0,40,0,1
95,29,4,115585,1,10,2,6,3,0,0,0,0,50,0,0
96,48,1,191277,13,16,0,5,2,0,0,0,1902,60,0,1
97,37,0,202683,1,10,0,3,2,0,0,0,0,48,0,1
98,48,0,171095,5,12,1,4,5,0,1,0,0,40,2,0
99,32,3,249409,3,9,2,2,1,4,0,0,0,40,0,0
100,76,0,124191,10,14,0,4,2,0,0,0,0,40,0,1
101,44,0,198282,0,13,0,4,2,0,0,15024,0,60,0,1
102,47,1,149116,10,14,2,5,3,0,1,0,0,50,0,0
103,20,0,188300,1,10,2,0,1,0,1,0,0,40,0,0
104,29,0,103432,3,9,2,1,3,0,0,0,0,40,0,0
105,32,2,317660,3,9,0,1,2,0,0,7688,0,40,0,1
106,17,8,304873,12,6,2,14,1,0,1,34095,0,32,0,0
107,30,0,194901,2,7,2,6,1,0,0,0,0,40,0,0
108,31,4,189265,3,9,2,8,3,0,1,0,0,40,0,0
109,42,0,124692,3,9,0,6,2,0,0,0,0,40,0,0
110,24,0,432376,0,13,2,3,4,0,0,0,0,40,0,0
111,38,0,65324,4,15,0,5,2,0,0,0,0,40,0,1
112,56,1,335605,3,9,0,2,2,0,0,0,1887,50,4,1
113,28,0,377869,1,10,0,3,0,0,1,4064,0,25,0,0
114,36,0,102864,3,9,2,7,1,0,1,0,0,40,0,0
115,53,0,95647,7,5,0,6,2,0,0,0,0,50,0,0
116,56,2,303090,1,10,0,3,2,0,0,0,0,50,0,0
117,49,4,197371,6,11,0,1,2,4,0,0,0,40,0,1
118,55,0,247552,1,10,0,3,2,0,0,0,0,56,0,0
119,22,0,102632,3,9,2,1,3,0,0,0,0,41,0,0
120,21,0,199915,1,10,2,2,1,0,1,0,0,40,0,0
121,40,0,118853,0,13,0,4,2,0,0,0,0,60,0,0
122,30,0,77143,0,13,2,4,1,4,0,0,0,40,5,0
123,29,5,267989,0,13,0,5,2,0,0,0,0,50,0,1
124,19,0,301606,1,10,2,2,1,4,0,0,0,35,0,0
125,47,0,287828,0,13,0,4,0,0,1,0,0,40,0,1
126,20,0,111697,1,10,2,8,1,0,1,0,1719,28,0,0
127,31,0,114937,5,12,0,8,2,0,0,0,0,40,0,1
128,35,8,129305,3,9,0,14,2,0,0,0,0,40,0,0
129,39,0,365739,1,10,1,1,3,0,0,0,0,40,0,0
130,28,0,69621,5,12,2,3,3,0,1,0,0,60,0,0
131,24,0,43323,3,9,2,2,3,0,1,0,1762,40,0,0
132,38,1,120985,3,9,0,1,2,0,0,4386,0,35,0,0
133,37,0,254202,0,13,0,3,2,0,0,0,0,50,0,0
134,46,0,146195,5,12,1,0,3,4,1,0,0,36,0,0
135,38,3,125933,10,14,0,5,2,0,0,0,0,40,13,1
136,43,1,56920,3,9,0,1,2,0,0,0,0,60,0,0
137,27,0,163127,6,11,0,8,0,0,1,0,0,35,0,0
138,20,0,34310,1,10,2,3,1,0,0,0,0,20,0,0
139,49,0,81973,1,10,0,1,2,1,0,0,0,40,0,1
140,61,2,66614,3,9,0,1,2,0,0,0,0,40,0,0
141,27,0,232782,1,10,2,3,1,0,1,0,0,40,0,0
142,19,0,316868,1,10,2,2,1,0,0,0,0,30,20,0
143,45,0,196584,6,11,2,5,3,0,1,0,1564,40,0,1
144,70,0,105376,1,10,2,0,4,0,0,0,0,40,0,0
145,31,0,185814,3,9,2,10,5,4,1,0,0,30,0,0
146,22,0,175374,1,10,0,2,2,0,0,0,0,24,0,0
147,36,0,108293,3,9,4,2,5,0,1,0,0,24,0,0
148,64,0,181232,2,7,0,1,2,0,0,0,2179,40,0,0
149,43,8,174662,1,10,1,14,3,0,1,0,0,40,0,0
150,47,4,186009,1,10,1,8,5,0,1,0,0,38,20,0
151,34,0,198183,3,9,2,8,3,0,1,0,0,40,0,0
152,33,0,163003,0,13,2,4,4,1,1,0,0,40,15,0
153,21,0,296158,3,9,2,1,1,0,0,0,0,35,0,0
154,52,8,252903,3,9,1,14,3,0,0,0,0,45,0,1
155,48,0,187715,3,9,0,1,2,0,0,0,0,46,0,0
156,23,0,214542,0,13,2,6,3,0,0,0,0,40,0,0
157,71,1,494223,1,10,3,3,5,4,0,0,1816,2,0,0
158,29,0,191535,3,9,1,1,3,0,0,0,0,60,0,0
159,42,0,228456,0,13,3,2,4,4,0,0,0,50,0,0
160,68,8,38317,11,2,1,14,3,0,1,0,0,20,0,0
161,25,0,252752,3,9,2,2,5,0,1,0,0,40,0,0
162,44,2,78374,10,14,1,4,5,1,1,0,0,40,0,0
163,28,0,88419,3,9,2,4,3,1,1,0,0,40,2,0
164,45,1,201080,10,14,0,3,2,0,0,0,0,40,0,1
165,36,0,207157,1,10,1,2,5,0,1,0,0,40,20,0
166,39,3,235485,5,12,2,4,3,0,0,0,0,42,0,0
167,46,5,102628,10,14,4,12,5,0,0,0,0,40,0,0
168,18,0,25828,2,7,2,6,1,0,0,0,0,16,0,0
169,66,4,54826,6,11,4,5,3,0,1,0,0,20,0,0
170,27,0,124953,3,9,2,2,3,0,0,0,1980,40,0,0
171,28,5,175325,3,9,0,12,2,0,0,0,0,40,0,0
172,51,0,96062,1,10,0,3,2,0,0,0,1977,40,0,1
173,27,0,428030,0,13,2,1,3,0,0,0,0,50,0,0
174,28,5,149624,0,13,0,5,2,0,0,0,0,40,0,1
175,27,0,253814,3,9,5,3,5,0,1,0,0,25,0,0
176,21,0,312956,3,9,2,1,1,4,0,0,0,40,0,0
177,34,0,483777,3,9,2,6,3,4,0,0,0,40,0,0
178,18,0,183930,3,9,2,2,1,0,0,0,0,12,0,0
179,33,0,37274,0,13,0,5,2,0,0,0,0,65,0,0
180,44,4,181344,1,10,0,4,2,4,0,0,0,38,0,1
