age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,50K
25,0,226802,2,7,2,7,1,4,0,0,0,40,0,0
38,0,89814,3,9,0,9,2,0,0,0,0,50,0,0
28,4,336951,5,12,0,12,2,0,0,0,0,40,0,1
44,0,160323,1,10,0,7,2,4,0,7688,0,40,0,1
18,8,103497,1,10,2,14,1,0,1,0,0,30,0,0
34,0,198693,12,6,2,2,3,0,0,0,0,30,0,0
29,8,227026,3,9,2,14,5,4,0,0,0,40,0,0
63,1,104626,4,15,0,5,2,0,0,3103,0,32,0,1
24,0,369667,1,10,2,2,5,0,1,0,0,40,0,0
55,0,104996,8,4,0,1,2,0,0,0,0,10,0,0
65,0,184454,3,9,0,7,2,0,0,6418,0,40,0,1
36,3,212465,0,13,0,8,2,0,0,0,0,40,0,0
26,0,82091,3,9,2,8,3,0,1,0,0,39,0,0
58,8,299831,3,9,0,14,2,0,0,0,0,35,0,0
48,0,279724,3,9,0,7,2,0,0,3103,0,48,0,1
43,0,346189,10,14,0,4,2,0,0,0,0,50,0,1
20,5,444554,1,10,2,2,1,0,0,0,0,25,0,0
43,0,128354,3,9,0,8,0,0,1,0,0,30,0,0
37,0,60548,3,9,4,7,5,0,1,0,0,20,0,0
40,0,85019,13,16,0,5,2,1,0,0,0,45,41,1
34,0,107914,0,13,0,0,2,0,0,0,0,47,0,1
34,0,238588,1,10,2,2,1,4,1,0,0,35,0,0
72,8,132015,8,4,1,14,3,0,1,0,0,6,0,0
25,0,220931,0,13,2,5,3,0,0,0,0,43,38,0
25,0,205947,0,13,0,5,2,0,0,0,0,40,0,0
45,1,432824,3,9,0,1,2,0,0,7298,0,90,0,1
22,0,236427,3,9,2,8,1,0,0,0,0,20,0,0
23,0,134446,3,9,3,7,5,4,0,0,0,54,0,0
54,0,99516,3,9,0,1,2,0,0,0,0,35,0,0
32,1,109282,1,10,2,5,3,0,0,0,0,60,0,0
46,5,106444,1,10,0,4,2,4,0,7688,0,38,0,1
56,1,186651,2,7,4,2,5,0,1,0,0,50,0,0
24,1,188274,0,13,2,3,3,0,0,0,0,50,0,0
23,4,258120,1,10,0,12,2,0,0,0,0,40,0,0
26,0,43311,3,9,1,4,5,0,1,0,0,40,0,0
65,8,191846,3,9,0,14,2,0,0,0,0,40,0,0
36,4,403681,0,13,0,5,2,0,0,0,0,40,0,1
22,0,248446,14,3,2,11,3,0,0,0,0,50,31,0
17,0,269430,12,6,2,7,3,0,0,0,0,40,0,0
20,0,257509,3,9,2,1,1,0,0,0,0,40,0,0
65,0,136384,10,14,0,5,2,0,0,0,0,50,0,1
44,2,120277,6,11,0,3,2,0,0,0,0,45,0,1
36,0,465326,3,9,0,9,2,0,0,0,0,40,0,0
29,0,103634,2,7,0,2,2,0,0,0,0,40,0,0
20,5,138371,1,10,2,9,1,0,0,0,0,32,0,0
28,0,242832,6,11,0,5,0,0,1,0,0,36,0,1
39,0,290208,8,4,0,1,2,0,0,0,0,40,20,0
54,0,186272,1,10,0,10,2,0,0,3908,0,50,0,0
52,0,201062,2,7,3,11,3,4,1,0,0,18,0,0
56,2,131916,3,9,4,4,3,0,1,0,0,50,0,0
18,0,54440,1,10,2,2,1,0,0,0,0,20,0,0
39,0,280215,3,9,1,6,1,4,0,0,0,40,0,0
21,0,214399,1,10,2,2,1,0,1,0,1721,24,0,0
22,0,54164,3,9,2,2,3,0,0,14084,0,60,0,1
38,0,219446,7,5,5,4,3,0,0,0,0,54,20,0
21,0,110677,1,10,2,8,1,0,1,0,0,40,0,0
63,0,145985,3,9,0,1,2,0,0,0,0,40,0,0
34,4,382078,0,13,0,4,2,0,0,3103,0,50,0,1
42,2,170721,3,9,0,4,2,0,0,5178,0,50,0,1
33,0,269705,3,9,0,6,2,0,0,0,0,40,0,0
30,0,101135,0,13,2,4,3,0,1,0,0,50,0,0
39,0,118429,1,10,1,3,3,0,0,0,0,40,0,0
26,0,31208,10,14,2,4,3,0,1,0,0,40,0,0
33,0,281384,3,9,2,7,1,0,1,0,0,40,0,0
47,4,171807,3,9,1,8,3,0,1,0,0,40,0,0
41,0,109912,0,13,2,2,3,0,1,0,0,40,41,0
41,2,445382,5,12,0,1,2,0,0,15024,0,60,0,1
19,0,105460,1,10,2,2,1,0,0,0,0,20,0,0
46,0,170338,3,9,3,10,3,0,0,0,0,40,0,0
43,0,102606,3,9,0,3,2,0,0,0,0,48,0,0
55,0,323887,1,10,0,4,2,0,0,15024,0,45,0,1
46,0,175622,6,11,0,0,2,0,0,0,0,40,0,0
30,0,229636,3,9,0,7,2,0,0,0,0,40,20,0
21,0,388946,1,10,3,6,3,0,1,0,0,40,0,0
46,0,269034,1,10,0,1,2,3,0,0,0,40,24,0
17,8,165361,12,6,2,14,1,0,0,0,0,40,0,0
41,0,75012,3,9,0,7,2,0,0,0,0,50,0,0
69,2,174379,3,9,0,3,2,0,0,0,0,30,0,0
50,0,312477,3,9,0,10,2,0,0,0,0,40,0,0
20,0,72055,1,10,2,8,3,0,1,0,0,40,0,0
45,2,67001,1,10,0,7,2,0,0,0,0,50,0,0
23,0,213734,0,13,2,4,3,0,0,0,0,40,0,0
24,0,83141,1,10,3,2,3,0,0,0,1876,40,0,0
44,2,223881,3,9,0,1,2,0,0,99999,0,50,41,1
31,1,113752,1,10,0,1,2,0,0,0,0,50,0,0
43,0,170482,3,9,3,7,3,0,1,0,0,44,0,0
20,3,244689,2,7,2,2,1,0,1,0,0,10,0,0
55,0,160631,3,9,0,3,2,0,0,0,0,56,0,1
24,3,228724,1,10,2,13,3,0,0,0,0,40,0,0
41,8,38434,10,14,0,14,0,0,1,7688,0,10,0,1
59,0,292946,0,13,2,4,3,0,1,0,0,25,0,0
49,3,77443,8,4,2,2,3,4,0,0,0,20,0,0
33,0,176410,10,14,0,5,0,0,1,5178,0,10,0,1
59,3,98984,0,13,1,8,3,0,0,0,0,40,0,0
34,0,198751,10,14,2,2,3,2,0,0,0,40,0,0
20,0,479296,3,9,2,6,1,0,0,0,0,40,0,0
25,0,235218,0,13,2,4,1,0,1,0,0,40,0,0
49,0,164877,12,6,0,9,2,0,0,0,0,40,0,0
59,0,272087,3,9,0,10,2,0,0,0,0,40,0,1
20,0,169699,3,9,2,8,3,0,1,0,0,40,0,0
51,8,189762,1,10,0,14,0,0,1,0,0,18,0,0
33,0,202191,1,10,2,8,5,4,1,0,0,35,0,0
22,0,212261,1,10,2,10,1,4,0,0,0,39,0,0
58,1,301568,7,5,4,2,3,0,1,0,0,40,0,0
52,4,155233,3,9,4,8,5,0,1,0,0,28,0,0
36,0,75826,12,6,3,7,3,0,1,0,0,40,0,0
41,4,201520,3,9,0,12,2,0,0,0,0,40,0,0
28,0,154236,3,9,2,10,1,0,0,2597,0,40,0,0
19,0,289227,1,10,2,6,1,4,0,0,0,16,0,0
18,0,217439,3,9,2,2,3,0,1,0,0,28,0,0
18,0,179020,3,9,2,7,1,0,1,0,0,48,0,0
28,0,149624,1,10,0,1,2,0,0,0,0,40,0,0
29,0,337266,6,11,0,4,2,0,0,0,0,40,0,1
20,8,30796,3,9,2,14,1,0,1,0,0,20,0,0
40,0,103541,1,10,0,6,2,0,0,0,0,40,0,0
26,0,206721,3,9,2,6,5,0,0,0,0,40,0,0
46,0,96773,3,9,0,1,2,0,0,0,0,40,0,0
23,0,200967,2,7,2,2,3,0,1,0,0,24,0,0
44,0,180019,3,9,5,8,5,0,1,0,0,40,0,0
43,0,179866,0,13,1,3,5,0,1,0,0,40,0,1
31,4,198770,0,13,1,5,5,0,1,0,0,60,0,0
18,0,219256,1,10,2,3,1,0,1,0,0,25,0,0
19,0,248730,1,10,2,12,1,0,0,0,0,30,0,0
41,0,110732,1,10,1,0,3,0,1,0,0,40,0,0
41,0,181020,3,9,1,6,5,0,1,0,0,40,0,0
69,0,183791,3,9,1,8,3,0,1,0,0,25,0,0
48,3,42972,13,16,0,5,0,0,1,0,0,40,0,1
28,0,134813,3,9,2,5,1,0,0,0,0,40,0,0
27,1,115438,3,9,0,1,2,0,0,0,0,60,22,1
41,0,239296,10,14,0,5,2,0,0,0,2415,50,0,1
41,0,428420,1,10,0,8,2,0,0,0,0,40,0,0
24,0,247846,3,9,2,1,5,4,1,0,0,40,0,0
20,8,334105,3,9,2,14,3,0,1,0,0,40,0,0
42,2,100793,13,16,0,5,2,0,0,0,0,41,0,1
57,0,244478,3,9,0,1,2,4,0,0,0,48,0,0
30,0,142921,5,12,2,5,3,0,1,0,0,40,0,0
36,0,182863,3,9,0,3,2,0,0,0,0,60,0,1
49,0,171128,8,4,0,7,2,4,0,0,0,40,0,0
33,0,145402,3,9,0,7,0,0,1,0,0,35,0,0
23,0,306309,12,6,0,9,2,0,0,0,0,40,0,0
46,0,83822,10,14,0,5,2,0,0,0,0,40,0,0
18,0,262118,1,10,2,8,1,1,1,0,0,22,5,0
40,0,155972,3,9,0,4,2,0,0,7688,0,55,0,1
43,2,214503,3,9,0,4,2,0,0,0,1887,45,0,1
34,0,159303,10,14,2,5,1,0,1,0,0,30,0,0
47,1,174995,3,9,4,4,3,0,1,0,0,30,0,0
44,0,26669,6,11,4,4,5,0,1,0,0,30,0,0
33,0,177727,3,9,0,3,2,0,0,0,0,40,0,1
55,0,124771,0,13,0,4,2,0,0,15024,0,50,0,1
19,0,456736,3,9,2,3,3,0,0,2907,0,30,0,0
28,0,216604,1,10,2,2,3,4,0,0,0,14,0,0
27,0,221561,2,7,0,2,0,4,1,0,0,32,0,0
50,0,114564,8,4,0,7,2,0,0,0,0,20,0,0
22,0,315476,2,7,2,1,5,0,0,0,0,40,0,0
40,5,67874,0,13,0,8,2,0,0,0,1887,45,0,1
25,0,126110,1,10,2,8,1,0,1,0,0,40,0,0
26,4,102264,3,9,2,1,3,0,0,0,0,40,0,0
22,0,537222,0,13,2,3,3,0,0,0,0,25,0,0
42,0,113732,1,10,2,6,5,4,1,0,625,40,0,0
38,2,93225,0,13,1,4,3,0,0,0,0,40,0,0
55,0,43064,2,7,0,2,2,0,0,0,0,30,0,0
32,0,136921,3,9,0,3,2,0,0,0,0,40,0,0
22,0,388885,3,9,0,1,2,0,0,0,0,45,0,0
29,0,142249,0,13,2,3,1,0,0,0,0,40,0,0
46,5,56841,10,14,0,4,2,0,0,0,0,45,0,1
31,0,156493,1,10,0,4,2,0,0,0,0,40,0,1
58,1,159021,13,16,0,5,2,0,0,0,0,16,0,1
42,0,190910,3,9,0,1,2,0,0,0,0,45,0,0
18,0,41879,3,9,2,6,5,0,0,0,0,25,0,0
58,4,137249,3,9,1,4,3,0,0,0,0,33,0,0
54,0,236157,3,9,0,5,2,0,0,0,1887,40,0,1
34,0,189759,10,14,2,5,3,0,0,0,0,40,0,0
26,0,239877,0,13,2,8,3,0,1,0,0,40,0,0
61,0,21175,9,8,0,4,2,0,0,0,0,60,0,0
48,4,67229,10,14,3,8,5,4,1,0,0,40,0,0
36,0,236391,1,10,0,4,2,0,0,0,0,45,0,1
24,0,325596,6,11,0,7,2,0,0,0,0,45,0,0
40,0,83411,1,10,0,7,2,0,0,0,0,37,0,0
33,2,154227,3,9,0,3,2,0,0,0,0,50,0,1
37,0,248010,1,10,0,7,2,0,0,0,1887,40,0,1
34,0,198613,10,14,2,4,1,0,0,4650,0,40,0,0
56,2,321529,1,10,0,4,2,0,0,15024,0,40,0,1
28,8,168524,3,9,0,14,1,0,1,0,0,38,0,1
37,0,203079,0,13,4,4,3,0,1,0,0,55,0,0
44,0,284652,3,9,1,3,5,4,1,0,0,40,0,0
64,8,201368,1,10,0,14,2,0,0,0,0,8,0,0
54,0,59840,3,9,1,6,3,0,0,0,0,45,0,0
23,0,52753,3,9,2,7,3,0,0,0,0,50,0,0
34,5,513100,0,13,5,9,3,4,0,0,0,40,41,0
22,0,199266,3,9,2,2,3,0,1,0,0,45,0,0
33,0,196385,0,13,0,4,2,0,0,0,1977,40,0,1
39,0,163205,0,13,3,5,3,0,0,0,0,50,0,1
47,0,411047,1,10,1,8,3,4,1,0,0,37,0,0
79,8,48574,8,4,4,14,3,0,0,0,0,40,0,0
26,0,209440,3,9,2,5,5,4,1,0,0,55,0,0
31,0,56964,1,10,1,4,5,0,1,0,0,40,0,0
44,0,299197,1,10,2,10,3,0,0,0,0,45,0,0
42,2,240628,4,15,0,5,0,0,1,0,0,50,0,1
19,0,355313,3,9,2,7,3,0,1,0,0,40,0,0
27,0,132267,3,9,0,6,2,0,0,0,0,40,0,1
51,4,174861,1,10,0,12,2,0,0,0,0,40,0,1
28,2,142443,0,13,0,4,2,0,0,0,0,50,0,0
57,0,26716,0,13,1,1,3,0,0,0,0,45,0,0
45,4,185588,0,13,1,5,5,0,1,0,0,40,0,0
50,0,175029,6,11,0,5,2,0,0,0,0,40,0,1
34,2,34848,0,13,0,3,2,0,0,0,0,54,0,0
45,0,411273,8,4,0,1,2,4,0,0,0,40,0,0
73,4,143437,3,9,0,4,2,0,0,0,0,20,0,0
34,0,357145,0,13,0,5,0,0,1,0,0,50,0,1
31,0,236861,1,10,0,3,2,0,0,0,0,55,0,1
19,0,53355,2,7,2,3,3,0,0,0,0,12,0,0
25,0,29106,1,10,2,2,1,0,1,0,0,50,0,0
38,3,213274,6,11,1,1,5,0,1,6497,0,40,0,0
39,0,22463,0,13,0,10,2,0,0,0,0,40,0,0
23,0,180497,0,13,2,0,1,4,1,0,0,32,0,0
49,0,37306,3,9,0,7,2,0,0,0,0,40,0,0
33,3,137814,3,9,2,2,3,0,0,0,0,32,0,0
