#trial,samples,#result,age,education-num
0,2048,0,44.0,9.0
0,2048,1,48.0,6.0
0,512,0,23.0,14.0
0,512,1,69.0,12.0
0,512,2,103.0,11.0
1,2048,0,2.0,0.0
1,1024,0,2.0,0.0
1,512,0,21.0,14.0
1,512,1,22.0,10.0
1,512,2,38.0,1.0
1,512,3,57.0,0.0
1,256,0,21.0,14.0
1,256,1,34.0,12.0
1,256,2,46.0,8.0
1,128,0,9.0,14.0
1,128,1,10.0,10.0
1,128,2,96.0,8.0
2,2048,0,19.0,14.0
2,2048,1,24.0,10.0
2,2048,2,51.0,8.0
2,2048,3,57.0,4.0
2,1024,0,10.0,3.0
2,512,0,36.0,12.0
2,512,1,42.0,8.0
2,512,2,46.0,5.0
2,256,0,5.0,8.0
2,256,1,12.0,1.0
2,128,0,12.0,1.0
3,2048,0,28.0,9.0
3,2048,1,45.0,6.0
3,2048,2,60.0,5.0
3,1024,0,8.0,2.0
3,512,0,9.0,3.0
3,256,0,9.0,3.0
3,128,0,8.0,9.0
3,128,1,9.0,8.0
3,128,2,103.0,6.0
4,2048,0,22.0,14.0
4,2048,1,66.0,10.0
4,1024,0,12.0,8.0
4,1024,1,43.0,5.0
4,1024,2,75.0,4.0
4,512,0,8.0,8.0
4,512,1,45.0,5.0
4,512,2,55.0,4.0
4,256,0,13.0,2.0
4,128,0,10.0,14.0
4,128,1,37.0,11.0
4,128,2,56.0,10.0
4,128,3,86.0,9.0
4,128,4,114.0,8.0
4,128,5,207.0,7.0
4,128,6,217.0,5.0
5,2048,0,1.0,0.0
5,1024,0,7.0,6.0
5,1024,1,20.0,3.0
5,512,0,7.0,6.0
5,512,1,20.0,3.0
5,256,0,3.0,8.0
5,256,1,7.0,6.0
5,256,2,20.0,3.0
5,128,0,3.0,8.0
5,128,1,7.0,3.0
6,2048,0,32.0,14.0
6,2048,1,45.0,8.0
6,2048,2,63.0,6.0
6,1024,0,35.0,10.0
6,1024,1,49.0,8.0
6,1024,2,143.0,7.0
6,1024,3,157.0,6.0
6,512,0,11.0,12.0
6,512,1,22.0,8.0
6,512,2,66.0,6.0
6,512,3,70.0,4.0
6,256,0,24.0,9.0
6,256,1,27.0,8.0
6,256,2,40.0,7.0
6,256,3,48.0,6.0
6,256,4,52.0,5.0
6,128,0,7.0,1.0
7,2048,0,2.0,0.0
7,1024,0,27.0,28.0
7,1024,1,29.0,14.0
7,1024,2,38.0,9.0
7,1024,3,42.0,8.0
7,1024,4,68.0,5.0
7,512,0,7.0,13.0
7,512,1,47.0,6.0
7,256,0,17.0,16.0
7,256,1,18.0,15.0
7,256,2,24.0,14.0
7,256,3,50.0,12.0
7,256,4,52.0,11.0
7,256,5,56.0,10.0
7,256,6,64.0,8.0
7,128,0,6.0,0.0
8,2048,0,11.0,8.0
8,2048,1,12.0,1.0
8,1024,0,11.0,8.0
8,1024,1,25.0,7.0
8,1024,2,29.0,6.0
8,1024,3,46.0,4.0
8,512,0,11.0,8.0
8,512,1,23.0,6.0
8,512,2,114.0,4.0
8,256,0,5.0,8.0
8,256,1,25.0,6.0
8,256,2,68.0,5.0
8,128,0,5.0,8.0
8,128,1,87.0,6.0
8,128,2,230.0,4.0
9,2048,0,2.0,0.0
9,1024,0,15.0,8.0
9,1024,1,36.0,7.0
9,1024,2,42.0,4.0
9,512,0,22.0,8.0
9,512,1,48.0,4.0
9,256,0,7.0,0.0
9,128,0,24.0,14.0
9,128,1,52.0,9.0
9,128,2,53.0,8.0
9,128,3,56.0,7.0
9,128,4,57.0,6.0
9,128,5,60.0,4.0
10,512,0,38.0,22.0
